Brand,UsedOrNew,Transmission,DriveType,FuelType,BodyType,Doors,Seats,Engine_cylinder_number,Engine_total_volume,ExteriorColour,Year,Kilometres,Price,fuel_comsumption_liter,fuel_comsumption_km
Holden,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 1.6 ,Black ,2017,103551.0,15995.0,6.6,100.0
Hyundai,USED,Manual,Rear,Diesel,Commercial, 4 , 3 ,4 , 2.5 ,White ,2017,185746.0,24995.0,7.6,100.0
Mercedes-Benz,USED,Automatic,Rear,Premium,SUV, 4 , 5 ,4 , 2 ,Silver ,2022,19989.0,80900.0,8.0,100.0
Great,USED,Manual,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2 ,White ,2017,142333.0,16995.0,9.0,100.0
Kia,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 2 ,Silver ,2020,57101.0,23980.0,7.4,100.0
Mitsubishi,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 1.5 ,Grey ,2020,39765.0,27290.0,7.3,100.0
Hyundai,USED,Automatic,AWD,Diesel,SUV, 4 , 7 ,4 , 2.2 ,Silver ,2013,100996.0,24990.0,7.3,100.0
Mitsubishi,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,6 , 3.8 ,Grey ,2006,228024.0,4500.0,10.8,100.0
Toyota,USED,Automatic,4WD,Unleaded,SUV, 4 , 5 ,6 , 3.5 ,Red ,2008,215170.0,16995.0,10.5,100.0
Mitsubishi,USED,Automatic,Other,Unleaded,Wagon, 4 , 5 ,4 , 2 ,White ,2013,116003.0,27999.0,7.68,100.0
Toyota,USED,Automatic,Other,Diesel,Wagon, 4 , 5 ,4 , 2 ,White ,2020,65018.0,89990.0,8.38,100.0
Holden,USED,Manual,Rear,Unleaded,Sedan, 4 , 5 ,6 , 3.6 ,Grey ,2011,197865.0,15995.0,10.2,100.0
Toyota,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2.5 ,White ,2020,53105.0,27880.0,7.8,100.0
Ford,USED,Automatic,Rear,Diesel,Ute  Tray, 4 , 5 ,4 , 2.2 ,Black ,2018,157298.0,25990.0,7.5,100.0
Nissan,USED,Automatic,4WD,Diesel,SUV, 4 , 7 ,4 , 3 ,Silver ,2005,251488.0,21990.0,10.9,100.0
Ford,USED,Manual,Front,Premium,SUV, 4 , 5 ,3 , 1 ,Black ,2015,165417.0,8999.0,5.7,100.0
Land,USED,Automatic,AWD,Diesel,SUV, 4 , 5 ,8 , 4.4 ,Black ,2015,187402.0,79800.0,8.7,100.0
Audi,USED,Automatic,AWD,Premium,Wagon, 4 , 5 ,6 , 2.9 ,Blue ,2018,35615.0,104800.0,8.9,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 3 , 4 ,4 , 1.6 ,Black ,2016,81162.0,24990.0,7.1,100.0
Volkswagen,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 1.2 ,Silver ,2017,79037.0,17990.0,4.8,100.0
Kia,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2 ,Silver ,2017,84741.0,21990.0,7.3,100.0
Volkswagen,USED,Automatic,AWD,Premium,SUV, 4 , 5 ,4 , 2 ,Silver ,2022,11845.0,44380.0,7.7,100.0
Nissan,USED,Automatic,Rear,Unleaded,Wagon, 4 , 5 ,4 , 2 ,Black ,2010,77835.0,27900.0,7.239999999999999,100.0
Toyota,USED,Automatic,Front,Hybrid,Hatchback, 5 , 5 ,4 , 1.8 ,Red ,2019,92445.0,34888.0,4.2,100.0
Nissan,USED,Manual,Rear,Diesel,Ute  Tray, 4 , 5 ,4 , 2 ,White ,2017,144182.0,20995.0,7.4,100.0
Toyota,USED,Automatic,Rear,Unleaded,Commercial, 4 , 5 ,4 , 2 ,Black ,2013,138332.0,27500.0,7.12,100.0
Toyota,USED,Automatic,AWD,Hybrid,SUV, 5 , 5 ,4 , 2.5 ,Grey ,2022,10702.0,69999.0,4.8,100.0
Subaru,USED,Automatic,AWD,Unleaded,SUV, 4 , 5 ,4 , 2.5 ,Green ,2021,19071.0,43999.0,7.3,100.0
Mazda,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2.5 ,Red ,2021,40224.0,41863.0,7.6,100.0
Hyundai,USED,Automatic,AWD,Diesel,SUV, 4 , 7 ,4 , 2.2 ,Silver ,2015,186600.0,21995.0,7.3,100.0
Audi,USED,Automatic,Front,Premium,Sedan, 4 , 5 ,4 , 2 ,White ,2022,9800.0,56880.0,6.1,100.0
Toyota,USED,Automatic,4WD,Diesel,SUV, 4 , 7 ,4 , 2.8 ,White ,2019,102054.0,59990.0,8.0,100.0
MG,NEW,Automatic,Front,Electric,SUV, 4 , 5 ,4 , 2 ,Red ,2023,15.0,57709.0,0.0,100.0
Toyota,USED,Automatic,Rear,Unleaded,Ute  Tray, 2 , 4 ,6 , 4 ,White ,2012,207212.0,24990.0,11.8,100.0
Hyundai,USED,Automatic,Rear,Diesel,Commercial, 4 , 3 ,4 , 2.5 ,White ,2020,259294.0,25500.0,8.8,100.0
Audi,USED,Automatic,AWD,Diesel,SUV, 4 , 5 ,4 , 2 ,Silver ,2018,70572.0,45880.0,5.5,100.0
Toyota,USED,Automatic,Other,Other,Wagon, 4 , 5 ,4 , 2 ,White ,2020,33792.0,47990.0,7.4,100.0
Audi,USED,Automatic,Front,Premium,Sedan, 4 , 5 ,4 , 1.4 ,Silver ,2016,101005.0,21990.0,4.7,100.0
Mercedes-Benz,USED,Automatic,AWD,Premium,Hatchback, 5 , 5 ,4 , 2 ,Silver ,2023,2441.0,69990.0,6.8,100.0
Mazda,USED,Automatic,Front,Unleaded,Wagon, 4 , 5 ,4 , 2 ,Black ,2012,201608.0,14800.0,7.68,100.0
Volkswagen,USED,Automatic,Front,Premium,Hatchback, 4 , 5 ,4 , 2 ,White ,2017,99842.0,19990.0,7.68,100.0
Holden,USED,Automatic,Other,Diesel,Wagon, 4 , 5 ,4 , 2 ,White ,2015,166178.0,12990.0,7.68,100.0
Renault,NEW,Manual,Front,Other,Hatchback, 5 , 5 ,4 , 1.8 ,Yellow ,2023,11.2,71490.0,8.3,100.0
Nissan,USED,Automatic,4WD,Unleaded,SUV, 4 , 5 ,4 , 2.5 ,Blue ,2019,53221.0,34750.0,8.3,100.0
Mercedes-Benz,USED,Automatic,Rear,Premium,Sedan, 4 , 5 ,4 , 2 ,Grey ,2015,77728.0,37990.0,6.0,100.0
Nissan,USED,Manual,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2.5 ,Silver ,2014,175237.0,18950.0,9.8,100.0
Hyundai,USED,Automatic,Rear,Diesel,Wagon, 4 , 8 ,4 , 2.5 ,White ,2014,150302.0,21995.0,9.0,100.0
Nissan,DEMO,Automatic,Other,Unleaded,Wagon, 4 , 5 ,4 , 2 ,White ,2023,1566.0,47632.0,7.4,100.0
Toyota,USED,Manual,Rear,Unleaded,Ute  Tray, 2 , 3 ,4 , 2.7 ,White ,2013,143000.0,16900.0,11.0,100.0
Holden,USED,Automatic,AWD,Premium,Wagon, 4 , 5 ,6 , 3.6 ,Blue ,2018,25567.0,33990.0,9.1,100.0
Audi,USED,Automatic,AWD,Premium,Sedan, 4 , 5 ,4 , 2 ,Black ,2019,47312.0,45880.0,6.1,100.0
Volkswagen,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2 ,Grey ,2016,83285.0,37990.0,8.3,100.0
Ford,USED,Manual,4WD,Diesel,Ute  Tray, 4 , 5 ,5 , 3.2 ,White ,2015,239156.0,23750.0,8.3,100.0
Audi,USED,Automatic,Front,Premium,Sedan, 4 , 5 ,4 , 1.8 ,Black ,2016,45861.0,27000.0,5.6,100.0
LDV,USED,Automatic,Rear,Diesel,Commercial, 4 , 2 ,4 , 2 ,White ,2022,5153.0,30990.0,8.2,100.0
Mercedes-Benz,USED,Automatic,AWD,Hybrid,SUV, 4 , 5 ,6 , 3 ,Black ,2020,28870.0,122900.0,9.1,100.0
Maserati,USED,Automatic,Rear,Unleaded,SUV, 4 , 5 ,4 , 2 ,Blue ,2017,19093.0,79800.0,7.239999999999999,100.0
Volkswagen,DEMO,Automatic,AWD,Premium,SUV, 4 , 5 ,4 , 2 ,White ,2022,1505.0,84990.0,8.8,100.0
MG,NEW,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 1.5 ,Silver ,2022,15.0,19490.0,6.7,100.0
BMW,USED,Automatic,AWD,Premium,Sedan, 4 , 5 ,6 , 3 ,Black ,2020,37130.0,78995.0,7.7,100.0
Nissan,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 2 ,Black ,2017,109736.0,23995.0,6.9,100.0
Toyota,USED,Automatic,Other,Other,Wagon, 4 , 5 ,4 , 2 ,White ,2018,18475.0,36388.0,6.779999999999999,100.0
Audi,USED,Automatic,AWD,Premium,SUV, 4 , 7 ,8 , 4 ,Black ,2022,10280.0,168888.0,12.1,100.0
Toyota,USED,Automatic,Other,Unleaded,Wagon, 4 , 5 ,4 , 2 ,White ,2015,104540.0,24999.0,7.68,100.0
Holden,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 1.4 ,White ,2017,43863.0,21888.0,5.8,100.0
MG,NEW,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 1.5 ,Silver ,2022,15.0,19490.0,6.7,100.0
Hyundai,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2.4 ,White ,2018,86028.0,21950.0,8.3,100.0
Mazda,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,5 , 3.2 ,White ,2018,36941.0,48990.0,10.0,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 4 , 5 ,4 , 2 ,Blue ,2018,12804.0,25990.0,7.4,100.0
Ram,USED,Automatic,4WD,Unleaded,Commercial, 4 , 5 ,8 , 5.7 ,Grey ,2019,46200.0,79990.0,12.2,100.0
Mazda,USED,Automatic,Front,Unleaded,Wagon, 4 , 7 ,6 , 3 ,Grey ,2005,174025.0,6950.0,13.0,100.0
Suzuki,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.5 ,White ,2010,121530.0,12990.0,6.7,100.0
Holden,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.6 ,Black ,2012,179000.0,7995.0,7.3,100.0
Toyota,USED,Automatic,AWD,Unleaded,SUV, 4 , 7 ,6 , 3.5 ,Black ,2018,59872.0,49790.0,9.5,100.0
Hyundai,USED,Automatic,Rear,Diesel,Commercial, 4 , 3 ,4 , 2.5 ,White ,2017,207745.0,21999.0,8.8,100.0
Toyota,USED,Automatic,4WD,Unleaded,SUV, 4 , 5 ,4 , 2.4 ,Red ,2008,274436.0,14995.0,9.6,100.0
Toyota,USED,Automatic,Front,Hybrid,Hatchback, 5 , 5 ,4 , 1.8 ,White ,2021,8580.0,39990.0,4.2,100.0
Mitsubishi,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2.4 ,White ,2016,241000.0,24990.0,7.6,100.0
Jeep,USED,Automatic,AWD,Premium,SUV, 4 , 5 ,6 , 3.6 ,Grey ,2012,140521.0,18900.0,11.0,100.0
Holden,USED,Automatic,AWD,Unleaded,SUV, 4 , 7 ,6 , 3 ,White ,2013,152143.0,12950.0,10.1,100.0
Ford,USED,Automatic,Rear,Diesel,Ute  Tray, 4 , 5 ,5 , 3.2 ,Red ,2018,152807.0,34950.0,8.2,100.0
Audi,USED,Automatic,AWD,Diesel,SUV, 4 , 5 ,6 , 3 ,Silver ,2009,163535.0,14950.0,7.5,100.0
Toyota,USED,Manual,Rear,Diesel,Commercial, 4 , 2 ,4 , 3 ,White ,2016,208001.0,24995.0,8.0,100.0
Lexus,USED,Automatic,AWD,Other,SUV, 4 , 5 ,6 , 3.5 ,White ,2016,84076.0,49989.0,9.6,100.0
Mercedes-Benz,USED,Automatic,Rear,Premium,Sedan, 4 , 5 ,4 , 1.8 ,Silver ,2008,158457.0,8999.0,8.2,100.0
Toyota,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2.8 ,White ,2017,61227.0,46888.0,8.5,100.0
Toyota,USED,Automatic,Rear,Diesel,Commercial, 4 , 3 ,4 , 3 ,Silver ,2010,147317.0,25999.0,8.0,100.0
Mercedes-Benz,USED,Automatic,Rear,Premium,Sedan, 4 , 5 ,4 , 1.8 ,Silver ,2009,138891.0,11888.0,8.2,100.0
Ford,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2 ,Blue ,2022,7051.0,56800.0,7.6,100.0
Toyota,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 1.8 ,White ,2011,123372.0,11950.0,7.4,100.0
Ford,USED,Automatic,Rear,Diesel,Ute  Tray, 4 , 5 ,4 , 2.2 ,White ,2016,276343.0,26990.0,7.5,100.0
Holden,USED,Automatic,Rear,Unleaded,Sedan, 4 , 5 ,6 , 3.6 ,Black ,2014,84929.0,24990.0,9.5,100.0
Suzuki,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 1.4 ,Grey ,2017,139961.0,22990.0,5.9,100.0
Toyota,USED,Automatic,Rear,Diesel,Commercial, 4 , 2 ,4 , 3 ,Silver ,2015,169481.0,29999.0,8.0,100.0
BMW,USED,Automatic,Rear,Unleaded,Sedan, 4 , 5 ,4 , 2 ,Silver ,2006,140427.0,7999.0,11.0,100.0
Mazda,USED,Automatic,Other,Unleaded,Wagon, 4 , 5 ,4 , 2 ,White ,2019,52125.0,36990.0,7.4,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 4 , 5 ,4 , 2 ,Grey ,2018,64160.0,22990.0,7.4,100.0
Audi,USED,Automatic,Front,Premium,Other, 4 , 5 ,4 , 2 ,Grey ,2019,46595.0,41880.0,6.1,100.0
Ford,USED,Automatic,4WD,Hybrid,SUV, 4 , 5 ,5 , 3.2 ,White ,2021,20322.0,49900.0,7.0,100.0
Isuzu,USED,Automatic,Rear,Diesel,Ute  Tray, 2 , 2 ,4 , 3 ,White ,2017,186951.0,23999.0,7.5,100.0
Ford,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2 ,White ,2022,14646.0,78999.0,7.6,100.0
Toyota,USED,Automatic,Front,Unleaded,SUV, 4 , 7 ,6 , 3.5 ,Gold ,2015,108635.0,34995.0,10.2,100.0
Subaru,USED,Automatic,AWD,Unleaded,SUV, 4 , 5 ,4 , 2.5 ,Green ,2020,67008.0,39990.0,7.4,100.0
Mitsubishi,USED,Automatic,Rear,Diesel,Ute  Tray, 4 , 5 ,4 , 2.4 ,White ,2016,227276.0,17980.0,7.5,100.0
Audi,USED,Automatic,Front,Premium,SUV, 4 , 5 ,4 , 1.4 ,Black ,2022,20.0,61990.0,7.2,100.0
Volkswagen,USED,Automatic,Front,Diesel,Wagon, 5 , 7 ,4 , 2 ,White ,2013,97851.0,26880.0,6.3,100.0
Holden,USED,Automatic,AWD,Diesel,SUV, 4 , 7 ,4 , 2.2 ,Grey ,2017,77000.0,22888.0,8.1,100.0
Toyota,USED,Automatic,Front,Premium,Wagon, 4 , 5 ,4 , 2 ,White ,2017,60862.0,39888.0,7.239999999999999,100.0
Mazda,USED,Automatic,Other,Other,Wagon, 4 , 5 ,4 , 2 ,White ,2019,34385.0,32990.0,7.1,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 4 , 5 ,4 , 2 ,Grey ,2017,68658.0,22995.0,7.4,100.0
Ford,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,5 , 3.2 ,White ,2020,109818.0,41950.0,8.7,100.0
Kia,USED,Automatic,Front,Diesel,Wagon, 4 , 8 ,4 , 2.2 ,Silver ,2016,81285.0,35900.0,7.7,100.0
Ford,USED,Manual,Front,Unleaded,Hatchback, 5 , 5 ,4 , 2 ,White ,2014,93506.0,10990.0,7.2,100.0
Mazda,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 2.5 ,Black ,2008,160558.0,12980.0,8.9,100.0
Kia,USED,Automatic,Front,Unleaded,Hatchback, 4 , 5 ,4 , 2 ,White ,2016,156150.0,16990.0,7.68,100.0
Mazda,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 2 ,Grey ,2016,53099.0,28990.0,6.4,100.0
Holden,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 1.6 ,Grey ,2017,27324.0,19990.0,6.3,100.0
Mazda,USED,Automatic,Front,Unleaded,SUV, 4 , 7 ,6 , 3.7 ,Silver ,2011,260670.0,12880.0,11.0,100.0
Hyundai,USED,Manual,Front,Premium,Hatchback, 5 , 5 ,4 , 2 ,Red ,2018,39008.0,38995.0,8.0,100.0
Mercedes-Benz,USED,Automatic,Rear,Premium,Sedan, 4 , 4 ,4 , 2 ,Silver ,2018,9644.0,54990.0,7.0,100.0
Holden,USED,Automatic,4WD,Diesel,Ute  Tray, 2 , 2 ,4 , 2.8 ,White ,2019,115623.0,34975.0,8.6,100.0
GWM,NEW,Automatic,4WD,Unleaded,SUV, 4 , 5 ,4 , 2 ,White ,2022,20.0,46490.0,8.4,100.0
Suzuki,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.5 ,Black ,2008,158012.0,9990.0,6.7,100.0
Land,USED,Automatic,AWD,Diesel,SUV, 4 , 5 ,4 , 2 ,Grey ,2019,52675.0,62888.0,5.7,100.0
Mazda,USED,Automatic,AWD,Unleaded,SUV, 4 , 7 ,4 , 2.5 ,Grey ,2018,98374.0,39950.0,8.8,100.0
MG,USED,Automatic,Front,Unleaded,SUV, 5 , 5 ,4 , 1.5 ,Silver ,2022,10677.0,27888.0,6.9,100.0
Toyota,USED,Automatic,Front,Other,Hatchback, 4 , 5 ,4 , 2 ,White ,2023,63.0,42888.0,7.8,100.0
Toyota,USED,Automatic,Other,Other,Wagon, 4 , 5 ,4 , 2 ,Blue ,2022,1517.0,44888.0,7.839999999999999,100.0
Kia,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.4 ,White ,2020,44528.0,21990.0,6.2,100.0
Holden,USED,Automatic,AWD,Diesel,SUV, 4 , 7 ,4 , 2.2 ,Silver ,2012,167135.0,13990.0,8.1,100.0
Mitsubishi,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 2 ,Blue ,2020,59931.0,25290.0,7.6,100.0
Peugeot,USED,Automatic,Front,Diesel,SUV, 4 , 5 ,4 , 2 ,Black ,2018,86490.0,29990.0,4.8,100.0
Toyota,USED,Automatic,Other,Unleaded,Wagon, 4 , 5 ,4 , 2 ,Silver ,2014,101736.0,32999.0,7.380000000000001,100.0
Mitsubishi,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2 ,White ,2013,176119.0,10999.0,7.2,100.0
Toyota,USED,Automatic,Rear,Unleaded,Commercial, 4 , 3 ,4 , 2.7 ,White ,2014,232542.0,22995.0,11.6,100.0
Audi,USED,Automatic,AWD,Diesel,SUV, 4 , 7 ,6 , 3 ,Silver ,2011,157000.0,26995.0,7.8,100.0
Holden,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 1.8 ,Red ,2010,183001.0,8995.0,7.5,100.0
Ford,USED,Automatic,Other,Unleaded,Wagon, 4 , 5 ,4 , 2 ,White ,2010,197512.0,10999.0,7.68,100.0
Kia,USED,Automatic,AWD,Diesel,SUV, 4 , 5 ,4 , 2 ,Black ,2017,83220.0,29480.0,6.8,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 4 , 5 ,4 , 2 ,White ,2018,82117.0,18950.0,7.4,100.0
BMW,USED,Automatic,Rear,Unleaded,Convertible, 4 , 5 ,4 , 2 ,Grey ,2011,76891.0,48990.0,7.239999999999999,100.0
Hyundai,USED,Automatic,Front,Unleaded,Wagon, 4 , 5 ,4 , 2 ,White ,2018,89881.0,19995.0,7.5,100.0
Volkswagen,USED,Automatic,Front,Premium,SUV, 4 , 7 ,4 , 2 ,Black ,2018,49152.0,31990.0,7.5,100.0
Mercedes-Benz,USED,Automatic,AWD,Premium,Sedan, 4 , 5 ,4 , 2 ,Black ,2016,104154.0,33990.0,6.7,100.0
Nissan,USED,Automatic,Front,Premium,SUV, 4 , 7 ,6 , 3.5 ,Grey ,2017,133796.0,24990.0,9.9,100.0
Toyota,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 1.8 ,Silver ,2018,56092.0,29888.0,6.6,100.0
Nissan,USED,Automatic,4WD,Unleaded,SUV, 4 , 7 ,6 , 4 ,Grey ,2008,247880.0,10950.0,13.5,100.0
Renault,USED,Automatic,AWD,Premium,SUV, 4 , 5 ,4 , 2.5 ,Grey ,2013,126552.0,12999.0,9.5,100.0
Kia,USED,Automatic,Rear,Unleaded,Sedan, 4 , 5 ,6 , 3.3 ,Blue ,2019,71236.0,49990.0,10.2,100.0
Volkswagen,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2 ,Brown ,2014,175479.0,26950.0,8.3,100.0
Porsche,USED,Automatic,AWD,Premium,SUV, 4 , 5 ,6 , 3 ,Black ,2015,80208.0,54888.0,8.7,100.0
Audi,USED,Automatic,AWD,Premium,SUV, 4 , 5 ,8 , 4.2 ,Red ,2006,221294.0,18995.0,13.6,100.0
Porsche,USED,Automatic,AWD,Electric,Sedan, 4 , 4 ,4 , 2 ,White ,2022,9510.0,339900.0,0.0,100.0
Mazda,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 2 ,White ,2019,38179.0,35990.0,6.3,100.0
Mercedes-Benz,USED,Automatic,AWD,Premium,SUV, 4 , 5 ,8 , 5.5 ,Silver ,2014,130352.0,53880.0,11.8,100.0
Toyota,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,6 , 3 ,Silver ,2003,172019.0,5950.0,10.5,100.0
Suzuki,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 1.4 ,Grey ,2018,75785.0,26990.0,5.9,100.0
Kia,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 2 ,Blue ,2019,49242.0,23990.0,7.4,100.0
MG,USED,Automatic,AWD,Unleaded,SUV, 4 , 5 ,4 , 2 ,White ,2021,21513.0,32888.0,9.5,100.0
Land,USED,Automatic,AWD,Diesel,SUV, 5 , 5 ,4 , 2 ,Red ,2016,74733.0,41990.0,5.1,100.0
Kia,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2 ,Red ,2020,51816.0,23900.0,7.4,100.0
Holden,USED,Automatic,AWD,Diesel,SUV, 4 , 7 ,4 , 2.2 ,White ,2013,155684.0,12990.0,8.1,100.0
Mitsubishi,USED,Automatic,Front,Unleaded,SUV, 4 , 7 ,4 , 2.5 ,Grey ,2023,3015.0,46999.0,7.7,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 4 , 5 ,4 , 2 ,Red ,2019,59571.0,22990.0,7.4,100.0
Nissan,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 1.8 ,Grey ,2014,163073.0,10950.0,6.7,100.0
Holden,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 1.4 ,White ,2016,78932.0,11788.0,6.5,100.0
BMW,USED,Automatic,AWD,Diesel,SUV, 4 , 5 ,4 , 2 ,Grey ,2016,180013.0,34990.0,6.0,100.0
Mazda,USED,Automatic,AWD,Unleaded,SUV, 4 , 5 ,4 , 2.5 ,Black ,2017,180454.0,23490.0,7.5,100.0
Mazda,USED,Automatic,Front,Diesel,Sedan, 4 , 5 ,4 , 2.2 ,Red ,2016,96331.0,21999.0,5.4,100.0
Kia,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.8 ,Grey ,2015,108105.0,16990.0,7.1,100.0
BMW,USED,Automatic,Rear,Premium,Sedan, 4 , 5 ,4 , 2 ,Grey ,2016,134221.0,24990.0,5.8,100.0
Kia,USED,Automatic,Front,Diesel,Wagon, 4 , 8 ,4 , 2.2 ,White ,2016,67705.0,44990.0,7.7,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.6 ,Blue ,2017,83358.0,17990.0,6.6,100.0
Toyota,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.3 ,Silver ,2013,187361.0,13990.0,6.3,100.0
Isuzu,USED,Automatic,Rear,Diesel,Ute  Tray, 4 , 5 ,4 , 3 ,White ,2016,74850.0,32990.0,8.0,100.0
Kia,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2 ,Red ,2020,50585.0,24990.0,7.4,100.0
Nissan,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2.3 ,White ,2016,70056.0,45990.0,7.0,100.0
Dodge,USED,Automatic,Front,Premium,SUV, 4 , 5 ,6 , 3.6 ,Black ,2015,135077.0,15995.0,10.4,100.0
Hyundai,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 2 ,Blue ,2019,53749.0,26990.0,7.2,100.0
Mazda,USED,Automatic,Other,Other,Ute  Tray, 4 , 5 ,4 , 2 ,White ,2016,157330.0,33990.0,7.68,100.0
Hyundai,USED,Automatic,AWD,Diesel,SUV, 4 , 7 ,4 , 2.2 ,Blue ,2012,192121.0,22880.0,7.3,100.0
Audi,USED,Automatic,AWD,Hybrid,SUV, 4 , 5 ,4 , 2 ,Grey ,2022,4595.0,77880.0,5.4,100.0
Mazda,USED,Automatic,Front,Unleaded,Hatchback, 5 , 4 ,4 , 1.5 ,Silver ,2004,176693.0,8995.0,7.6,100.0
Holden,USED,Manual,Front,Unleaded,Commercial, 2 , 2 ,4 , 1.4 ,White ,2007,75000.0,11990.0,6.3,100.0
Audi,USED,Automatic,AWD,Premium,Hatchback, 5 , 5 ,6 , 2.9 ,Black ,2021,15156.0,139900.0,9.4,100.0
Toyota,USED,Automatic,Rear,Diesel,Commercial, 4 , 2 ,4 , 3 ,White ,2015,169784.0,24800.0,8.0,100.0
Alfa,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 1.7 ,White ,2015,98446.0,24995.0,7.0,100.0
Holden,USED,Automatic,AWD,Unleaded,SUV, 4 , 7 ,6 , 3 ,White ,2012,188886.0,11995.0,10.1,100.0
Subaru,USED,Manual,Rear,Premium,Coupe, 2 , 4 ,4 , 2 ,Red ,2017,96556.0,31950.0,7.8,100.0
Kia,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 2 ,Silver ,2017,127234.0,19990.0,7.1,100.0
Mitsubishi,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 2 ,Blue ,2019,102196.0,19999.0,7.6,100.0
Volkswagen,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 2 ,Red ,2018,74369.0,28990.0,6.1,100.0
Toyota,USED,Automatic,Rear,Diesel,Commercial, 4 , 2 ,4 , 3 ,White ,2015,306421.0,28999.0,8.0,100.0
Holden,USED,Automatic,Rear,Premium,Sedan, 4 , 5 ,8 , 6 ,Red ,2007,238000.0,15990.0,14.6,100.0
Hyundai,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 2 ,White ,2020,59424.0,28888.0,7.2,100.0
Suzuki,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 1.6 ,Black ,2020,53540.0,25995.0,6.2,100.0
Holden,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.6 ,Red ,2014,126804.0,11800.0,6.6,100.0
Nissan,USED,Automatic,Front,Premium,SUV, 4 , 7 ,6 , 3.5 ,Black ,2015,164471.0,18880.0,9.9,100.0
