Brand,UsedOrNew,Transmission,DriveType,FuelType,BodyType,Doors,Seats,Engine_cylinder_number,Engine_total_volume,ExteriorColour,Year,Kilometres,Price,fuel_comsumption_liter,fuel_comsumption_km
Volvo,USED,Automatic,Front,Premium,Sedan, 4 , 5 ,4 , 1.6 ,Blue ,2013,141000.0,14999.0,7.4,100.0
Mitsubishi,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2.4 ,White ,2016,240402.0,22750.0,7.6,100.0
Mercedes-Benz,USED,Automatic,Rear,Premium,Coupe, 2 , 4 ,4 , 1.8 ,Black ,2010,101126.0,21950.0,7.9,100.0
Mercedes-Benz,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 2 ,White ,2013,117254.0,19999.0,6.6,100.0
Toyota,USED,Manual,Rear,Premium,Coupe, 2 , 4 ,4 , 2 ,Silver ,2012,178747.0,19900.0,7.8,100.0
Mazda,USED,Automatic,AWD,Unleaded,SUV, 4 , 5 ,4 , 2.5 ,Black ,2022,10579.0,37990.0,7.5,100.0
Toyota,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.8 ,Red ,2010,167101.0,12990.0,7.7,100.0
Ford,USED,Automatic,Rear,Unleaded,Sedan, 4 , 5 ,6 , 4 ,Blue ,2013,163161.0,16999.0,9.9,100.0
Abarth,USED,Manual,Front,Premium,Hatchback, 3 , 4 ,4 , 1.4 ,Black ,2021,13200.0,36990.0,6.0,100.0
Honda,USED,Automatic,4WD,Unleaded,SUV, 4 , 5 ,4 , 2.4 ,White ,2014,103211.0,23880.0,8.7,100.0
Toyota,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 1.8 ,Silver ,2007,177751.0,10990.0,7.4,100.0
Toyota,USED,Automatic,Rear,Unleaded,People Mover, 3 , 14 ,4 , 2.7 ,Silver ,2016,119614.0,44900.0,10.9,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.8 ,Black ,2012,125546.0,15880.0,6.9,100.0
Mazda,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2.5 ,Grey ,2013,163000.0,16995.0,6.6,100.0
Toyota,USED,Automatic,Front,Unleaded,SUV, 4 , 7 ,6 , 3.5 ,Blue ,2008,132864.0,19880.0,11.0,100.0
Hyundai,USED,Automatic,AWD,Diesel,SUV, 4 , 7 ,4 , 2.2 ,White ,2018,71655.0,43999.0,7.8,100.0
BMW,USED,Automatic,4WD,Diesel,SUV, 4 , 5 ,4 , 2 ,Black ,2012,109459.0,18888.0,5.6,100.0
Holden,USED,Automatic,Front,Premium,Convertible, 2 , 4 ,4 , 1.6 ,Silver ,2016,65361.0,24995.0,7.5,100.0
Mercedes-Benz,USED,Automatic,4WD,Diesel,SUV, 4 , 5 ,6 , 3 ,Silver ,2006,212953.0,9998.0,9.6,100.0
Mitsubishi,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2 ,Red ,2009,163012.0,9990.0,8.2,100.0
Audi,USED,Automatic,AWD,Premium,Coupe, 2 , 4 ,4 , 2 ,White ,2014,82119.0,27380.0,6.7,100.0
Kia,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,3 , 1 ,Red ,2018,42071.0,24999.0,5.4,100.0
Jeep,USED,Automatic,4WD,Unleaded,SUV, 4 , 5 ,6 , 3.2 ,Red ,2015,85958.0,17999.0,10.0,100.0
Volkswagen,USED,Automatic,AWD,Premium,SUV, 4 , 5 ,4 , 2 ,Black ,2011,118642.0,12990.0,8.8,100.0
Mitsubishi,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 2 ,Blue ,2012,187265.0,13990.0,7.9,100.0
BMW,USED,Automatic,Rear,Premium,Convertible, 2 , 4 ,4 , 2 ,Grey ,2016,118120.0,28990.0,6.4,100.0
Hyundai,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 2 ,White ,2022,19978.0,36800.0,8.1,100.0
Mazda,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2 ,Grey ,2011,86804.0,13999.0,8.2,100.0
Volkswagen,NEW,Automatic,AWD,Premium,SUV, 4 , 7 ,4 , 2 ,Black ,2023,15.0,56887.0,8.9,100.0
